group;data
CherryGrove;1200
CherryGrove;1120
CherryGrove;980
CherryGrove;879
CherryGrove;680
CherryGrove;990
CherryGrove;769
CherryGrove;1130
CherryGrove;1290
CherryGrove;1065
CherryGrove;990
CherryGrove;865
CherryGrove;1290
CherryGrove;1120
CherryGrove;1093
CherryGrove;976
CherryGrove;654
CherryGrove;790
CherryGrove;889
CherryGrove;978
CherryGrove;680
CherryGrove;790
CherryGrove;854
CherryGrove;932
CherryGrove;1023
CherryGrove;1280
CherryGrove;1124
CherryGrove;1170
Beechmont;680
Beechmont;780
Beechmont;568
Beechmont;579
Beechmont;680
Beechmont;780
Beechmont;980
Beechmont;943
Beechmont;1025
Beechmont;1130
Beechmont;1280
Beechmont;1045
Beechmont;990
Beechmont;967
Beechmont;860
Beechmont;825
Beechmont;910
Beechmont;912
Beechmont;870
Beechmont;1130
Beechmont;1110
Beechmont;1054
