data,includes,matching_rules
"{'author_id': '258172858', 'edit_history_tweet_ids': ['1606252919099166721'], 'geo': {}, 'id': '1606252919099166721', 'text': 'RT @somosnativa: 🔴 #LasMañanas | Patricia del Río: “Todos los peruanos queremos orden, pero no a este costo, no de esta manera. Disparar al…'}","{'users': [{'id': '258172858', 'name': 'Rudy Rivera', 'username': 'RudyRiveraB'}, {'id': '983747278971326465', 'name': 'Nativa', 'username': 'somosnativa'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '177025716', 'edit_history_tweet_ids': ['1606252918813839360'], 'geo': {}, 'id': '1606252918813839360', 'text': 'RT @gastonedul: Lo más lindo de esta Copa del Mundo es que el mejor jugador de todos no la ganó solamente por ser el mejor. Leo Messi la ga…'}","{'users': [{'id': '177025716', 'name': 'Natuu Mendez', 'username': 'NatuuMendez'}, {'id': '165573691', 'name': 'Gastón Edul', 'username': 'gastonedul'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '1295015733483786240', 'edit_history_tweet_ids': ['1606252918318911490'], 'geo': {}, 'id': '1606252918318911490', 'text': '@GuillemCristo @ppopular @NunezFeijoo A que el amigo del narco nos suelta que no conoce a este ""señor"".\nQue se juegan.'}","{'users': [{'id': '1295015733483786240', 'name': 'Justo 🌹🇪🇦', 'username': 'CasiSoyJusto'}, {'id': '329600772', 'name': 'Guillem 🇪🇦🌹🇪🇦🌹', 'username': 'GuillemCristo'}, {'id': '20509689', 'name': 'Partido Popular', 'username': 'ppopular'}, {'id': '579741408', 'name': 'Alberto Núñez Feijóo', 'username': 'NunezFeijoo'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '1558234549905248258', 'edit_history_tweet_ids': ['1606252920709734400'], 'geo': {}, 'id': '1606252920709734400', 'text': '@LOUDgg @loud_aspas @sen_sacy @pANcada @loud_saadhak @loud_less @bzkagaming hjhjhjhjhjhjhjhjhjhjhjhjhjhjhjhjhj'}","{'users': [{'id': '1558234549905248258', 'name': 'Felipe', 'username': 'Felipecs156'}, {'id': '1073430373978333184', 'name': 'LOUD 🇧🇷', 'username': 'LOUDgg'}, {'id': '1202495657707266051', 'name': 'LOUD aspas 🌪️', 'username': 'loud_aspas'}, {'id': '2777390480', 'name': 'SEN Sacy', 'username': 'sen_sacy'}, {'id': '345730134', 'name': 'SEN pANcada', 'username': 'pANcada'}, {'id': '782343449886482432', 'name': 'LOUD Saadhak', 'username': 'loud_saadhak'}, {'id': '819885139018780672', 'name': 'LOUD Less', 'username': 'loud_less'}, {'id': '722414158013145091', 'name': 'mibr bzkA', 'username': 'bzkagaming'}]}","[{'id': '1603160755783827468', 'tag': ''}, {'id': '1603818731896963080', 'tag': ''}, {'id': '1603160744962424832', 'tag': ''}]"
"{'author_id': '1358688414577553409', 'edit_history_tweet_ids': ['1606252921380749312'], 'geo': {}, 'id': '1606252921380749312', 'text': 'can someone bann CRIME PETROL fr pls thankyou'}","{'users': [{'id': '1358688414577553409', 'name': 'Red-head wh0re', 'username': 'd1ebolic'}]}","[{'id': '1603160765216743425', 'tag': 'lang'}]"
"{'author_id': '1206630529568825344', 'edit_history_tweet_ids': ['1606252920583753728'], 'geo': {}, 'id': '1606252920583753728', 'text': 'RT @_KnockemOutKO: I know for a fact that when I get off it’s gonna be a shit show outside. It’s already bad fr 😩'}","{'users': [{'id': '1206630529568825344', 'name': 'K. Smith', 'username': 'Djstankdaddy_'}, {'id': '299350115', 'name': 'Mom. Nurse. Bad Bitch.', 'username': '_KnockemOutKO'}]}","[{'id': '1603160765216743425', 'tag': 'lang'}]"
"{'author_id': '1596191293901864960', 'edit_history_tweet_ids': ['1606252920608956416'], 'geo': {}, 'id': '1606252920608956416', 'text': 'Un mensaje Navideño para @sanchezcastejon, @IreneMontero, @Yolanda_Diaz_  y también para el @Congreso_Es 🎄✍👽 https://t.co/uj7HnWdLXk'}","{'users': [{'id': '1596191293901864960', 'name': 'Michel d👽A 2050', 'username': 'MicheldyA2050'}, {'id': '68740712', 'name': 'Pedro Sánchez', 'username': 'sanchezcastejon'}, {'id': '372812630', 'name': 'Irene Montero', 'username': 'IreneMontero'}, {'id': '761862806', 'name': 'Yolanda Díaz', 'username': 'Yolanda_Diaz_'}, {'id': '44091448', 'name': 'Congreso', 'username': 'Congreso_Es'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '12493262', 'edit_history_tweet_ids': ['1606252922777608193'], 'geo': {}, 'id': '1606252922777608193', 'text': '@manflorico 😞😞😞'}","{'users': [{'id': '12493262', 'name': 'Luigino Bracci Roa 🔧🚂', 'username': 'lubrio'}, {'id': '1394985206512238595', 'name': 'José Contreras-Quintero', 'username': 'manflorico'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '578404282', 'edit_history_tweet_ids': ['1606252923431763969'], 'geo': {}, 'id': '1606252923431763969', 'text': ""RT @beinsports_FR: 😂 L'exceptionnelle anecdote de José Mourinho sur Mario Balotelli !\n😭 Toujours un classique. https://t.co/1RFSt8D7jC""}","{'users': [{'id': '578404282', 'name': '.', 'username': 'NWVCH_'}, {'id': '569138069', 'name': 'beIN SPORTS', 'username': 'beinsports_FR'}]}","[{'id': '1603160765216743425', 'tag': 'lang'}]"
"{'author_id': '1374359118283218945', 'edit_history_tweet_ids': ['1606252922194509824'], 'geo': {}, 'id': '1606252922194509824', 'text': 'Hokuto No Ken fitboxing?? ¿Qué locura es esta? 🤔 https://t.co/mP8jQDplTo'}","{'users': [{'id': '1374359118283218945', 'name': '𝕂𝕒𝕓𝕦𝕜𝕚 𝙵𝚕𝚞𝚡', 'username': 'KabukiFlux'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
