dataauthor_id,dataedit_history_tweet_ids,datageo,dataid,datatext,includes,matching_rules
1470042655958745091,['1606261164400181249'],{},1606261164400181249,RT @flaviapittella: Atwood lo escribió. Esto es el horror.,"{'users': [{'id': '1470042655958745091', 'name': 'Raquel Martinez', 'username': 'RaquelM77848814'}, {'id': '39871114', 'name': 'FlayDaniPittella💚🌟🌟🌟', 'username': 'flaviapittella'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
1561111589624991744,['1606261165281140736'],{},1606261165281140736,RT @dquinterotv10: Es Correcto. Debe eliminarse el número de placa para surtir. En mi humilde opinión.,"{'users': [{'id': '1561111589624991744', 'name': 'Nardys Barreto', 'username': 'BarretoNardys'}, {'id': '1090815434947989504', 'name': 'Daniel Quintero 🆗', 'username': 'dquinterotv10'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
1443876779803004960,['1606261166006628357'],{},1606261166006628357,"RT @Paristeamfr: 🔴🔵🚨🚨 La nouvelle application https://t.co/C5OgzZx9Xw est arrivée et gratuite !

RT apprécié 😉

➡️ pour Iphone : https://t.…","{'users': [{'id': '1443876779803004960', 'name': 'Matt ❤️ 💙 🇨🇵🇲🇬', 'username': 'Mattasoa77'}, {'id': '294320954', 'name': 'ParisTeam', 'username': 'Paristeamfr'}]}","[{'id': '1603160765216743425', 'tag': 'lang'}]"
256992749,['1606261167667675139'],{},1606261167667675139,La calle Delicias de @zaragoza_es se moderniza digitalmente con el Plan Local de Comercio y Hostelería https://t.co/NBgpHM7zCw,"{'users': [{'id': '256992749', 'name': 'Europa Press Aragon', 'username': 'ep_aragon'}, {'id': '23737308', 'name': 'AyuntamientoZaragoza', 'username': 'zaragoza_es'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
974241714205609984,['1606261166296076289'],{},1606261166296076289,"RT @mamxela: Sobre Agoney: como artista es bueno, pero como persona, si os paráis un poco a conocerle, lo es el doble... 

Si no te gusta l…","{'users': [{'id': '974241714205609984', 'name': 'AgoTrending 🌹', 'username': 'pklt3'}, {'id': '1273371610955821056', 'name': 'Miguel A.', 'username': 'mamxela'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
769278334412918785,['1606261164341547010'],{},1606261164341547010,"RT @queerboo: Si me pregutan, este es el verdadero impacto de Shakira, por eso la amo. Dímelo tú @Elbayabuyiba https://t.co/A861k6HXX3","{'users': [{'id': '769278334412918785', 'name': 'Alexandra Ramirez', 'username': 'AlexaRami16'}, {'id': '55381731', 'name': 'Juan Sebastián 🌈', 'username': 'queerboo'}, {'id': '78920906', 'name': 'Rodrigo Sandoval Araújo', 'username': 'Elbayabuyiba'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
dataauthor_id,dataedit_history_tweet_ids,datageo,dataid,datatext,includes,matching_rules
72162900,['1606261194771382272'],{},1606261194771382272,@flashjessica @GobiernodeChile @GabrielBoric No soy fan del marluzo... pero si no se necesita un hospital de campaña... para que ponerlo? Piensa en el tren de camiones subiendo.... seria más un estorbo que una ayuda....,"{'users': [{'id': '72162900', 'name': 'Alvaro de Viña', 'username': 'alvaro_qco'}, {'id': '396957330', 'name': 'Jessica Ríos. ⚓⛵🏄\u200d♀️🏊\u200d♀️💙🇨🇱📸', 'username': 'flashjessica'}, {'id': '42102939', 'name': 'Gobierno de Chile', 'username': 'GobiernodeChile'}, {'id': '73981088', 'name': 'Gabriel Boric Font', 'username': 'GabrielBoric'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
462266752,['1606261194012114945'],{},1606261194012114945,@La_Daboveneta Para mi es muy buen jugador!,"{'users': [{'id': '462266752', 'name': 'rodrigo capurro', 'username': 'rodrigocapurro'}, {'id': '1510696168799494151', 'name': 'Daboveneta🎈', 'username': 'La_Daboveneta'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
1351468676520751105,['1606261195304058880'],{},1606261195304058880,"RT @FCBarcelona_es: 🏆 Nuestro rival en los 1/16 de final de la Copa será el 
@CFIntercity https://t.co/AClSxMthwu","{'users': [{'id': '1351468676520751105', 'name': 'Nahara Martinez/MCU spoilers.🥀', 'username': 'Romanismo10'}, {'id': '112764971', 'name': 'FC Barcelona', 'username': 'FCBarcelona_es'}, {'id': '873940612248211457', 'name': '𝗖𝗙 𝗜𝗡𝗧𝗘𝗥𝗖𝗜𝗧𝗬', 'username': 'CFIntercity'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
1423251091953696771,['1606261195987554304'],{},1606261195987554304,"@pbecchi Oder könnte es nicht das Gegenteil sein, Herr Professor?","{'users': [{'id': '1423251091953696771', 'name': 'Liselotte Rosa Adele', 'username': 'LiselotteRosa'}, {'id': '707022920', 'name': 'Paolo Becchi', 'username': 'pbecchi'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
