dataauthor_id,datacreated_at,dataedit_history_tweet_ids,datageo,dataid,datalang,datatext,includes,matching_rules
50660080,2022-12-23T12:32:12.000Z,['1606266420169527298'],{},1606266420169527298,es,"RT @dievalen: ¿CUÁNDO SACAR LOS RESIDUOS EN NAVIDAD? 🎅🎄
Te dejamos el esquema de recolección para que lo tengas en cuenta y evitemos que se…","{'users': [{'id': '50660080', 'location': 'Tres de Febrero  Buenos Aires', 'name': 'Pablo H. Casna', 'username': 'pcasna', 'verified': False}, {'id': '124539002', 'location': 'Buenos Aires, Argentina', 'name': 'Diego Valenzuela', 'username': 'dievalen', 'verified': False}]}","[{'id': '1606266420706287619', 'tag': ''}]"
462070383,2022-12-23T12:32:12.000Z,['1606266421998133256'],{'place_id': '00f751614d8ce37b'},1606266421998133256,es,Feliz Navidad✨👈🙏‼ https://t.co/u6SKdXPs7E,"[{'id': '462070383', 'location': 'RVA', 'name': 'Demetrio Flores', 'username': 'demetriofloress', 'verified': False}]","[{'country': 'United States', 'country_code': 'US', 'full_name': 'Richmond, VA', 'id': '00f751614d8ce37b'}]","[{'id': '1606266420706287619', 'tag': ''}]"
723102264773074944,2022-12-23T12:32:13.000Z,['1606266424145723393'],{},1606266424145723393,es,"La presentadora siempre se muestra espontánea y natural delante de sus espectadores y llegadas estas fechas tan emotivas como delicadas no ha dudado en hacer una curiosa reflexión.

https://t.co/GF1Az8vWm8","{'users': [{'id': '723102264773074944', 'location': 'Madrid', 'name': 'ESchismógrafo', 'username': 'ESchismografo', 'verified': False}]}","[{'id': '1606266420706287619', 'tag': ''}]"
1315402693633093632,2022-12-23T12:32:12.000Z,['1606266423021551617'],{},1606266423021551617,es,FELIZ NAVIDAD!!! ❤️❤️❤️ https://t.co/EJyUcmKKIr,"{'users': [{'id': '1315402693633093632', 'location': 'Montevideo, Uruguay', 'name': 'Tango con perfume de mujer', 'username': 'tango_con', 'verified': False}]}","[{'id': '1606266420706287619', 'tag': ''}]"
3313445289,2022-12-23T12:32:13.000Z,['1606266425198252032'],{},1606266425198252032,es,"@lacanariauy Buen día Adriana 🌹🌹,acá nublado y raro pero agradable  buena jornada 🚴‍♂️🚴‍♂️","{'users': [{'id': '3313445289', 'location': 'Montevideo, Uruguay🇺🇾', 'name': 'nomelos casques🇺🇾', 'username': 'dedoenla', 'verified': False}, {'id': '1435644488660226055', 'name': 'La Canaria Adry Musk 😉🤭', 'username': 'lacanariauy', 'verified': False}]}","[{'id': '1606266420706287619', 'tag': ''}]"
1578460152629547027,2022-12-23T12:32:13.000Z,['1606266426930733061'],{},1606266426930733061,es,"RT @GNB_tachira: #23Dic La Navidad es la esperanza de los años por venir, con todos los posibles e imaginarios logros. Juntos VENCEREMOS ht…","{'users': [{'id': '1578460152629547027', 'name': 'comandante del pac el Mirador', 'username': 'comandantedelp1', 'verified': False}, {'id': '2853435274', 'location': 'Táchira, Venezuela', 'name': 'GNB_Táchira😷🇻🇪', 'username': 'GNB_tachira', 'verified': False}]}","[{'id': '1606266420706287619', 'tag': ''}]"
2336975966,2022-12-23T12:32:12.000Z,['1606266423344394241'],{},1606266423344394241,es,"@teretesanchez68 Precioso Azul 
Feliz Navidad 🎄🎅","{'users': [{'id': '2336975966', 'name': 'mmusac', 'username': 'mmusac', 'verified': False}, {'id': '1367858596319465484', 'name': 'TERESA SANCHEZ RODRIGUEZ', 'username': 'teretesanchez68', 'verified': False}]}","[{'id': '1606266420706287619', 'tag': ''}]"
1250530012383588353,2022-12-23T12:32:13.000Z,['1606266427085684736'],{},1606266427085684736,es,"RT @MiguelCalabria3: FELIZ NAVIDAD A TODOS!

 «Verbum Caro factum est et habitavit in nobis» (Jn 1,14)

https://t.co/h6lbVT4UcP

#art #scul…","{'users': [{'id': '1250530012383588353', 'name': 'Annalisa', 'username': 'AnnalisaAntas', 'verified': False}, {'id': '783028986205069312', 'location': 'Madrid', 'name': 'Miguel Calabria', 'username': 'MiguelCalabria3', 'verified': False}]}","[{'id': '1606266420706287619', 'tag': ''}]"
1054712333606379521,2022-12-23T12:32:12.000Z,['1606266423080144896'],{},1606266423080144896,es,"Buuuuuuuuenos días animalitos de la creación y especies en peligro de extinción!!

#ÁmonosRecio ya navidad
Ya casi se termina el año. 🥳 https://t.co/7psWrskukz","{'users': [{'id': '1054712333606379521', 'location': 'En el Infinito y más allá ', 'name': '🌟Lady Memes Pipiripau🌟😎', 'username': 'Una_Chiva_Loca', 'verified': False}]}","[{'id': '1606266420706287619', 'tag': ''}]"
1577478856243806209,2022-12-23T12:32:13.000Z,['1606266425903091712'],{},1606266425903091712,es,RT @Er_colmo: @mex_gabo 🤣🤣 Feliz Navidad 🎈🥳 https://t.co/GTLF8WUqI4,"{'users': [{'id': '1577478856243806209', 'name': 'Gabo MeX/Parodia🇺🇲🇲🇽🇻🇪', 'username': 'mex_gabo', 'verified': False}, {'id': '1309542878163726336', 'location': 'El mundo', 'name': 'ErYOYO', 'username': 'Er_colmo', 'verified': False}]}","[{'id': '1606266420706287619', 'tag': ''}]"
