data,matching_rules
"{'edit_history_tweet_ids': ['1603169513058758656'], 'id': '1603169513058758656', 'text': '@APVogt @oliver93877389 Hab gelernt es zu nehmen wie es ist und das zu machen und zu genießen was ich kann. Und bloß nicht ständig darüber nachdenken. Es gibt immer Leute denen es wesentlich schlechter geht.'}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'edit_history_tweet_ids': ['1603169509849804800'], 'id': '1603169509849804800', 'text': 'RT @LaScaloneta: Mi corazón cuando Mbappe la tire larga en una contra https://t.co/bvbsHvPYIL'}","[{'id': '1603160750108938240', 'tag': ''}]"
"{'edit_history_tweet_ids': ['1603169511938707456'], 'id': '1603169511938707456', 'text': '@nataliiardgzz la ignorancia es lo mejor hazme caso'}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'edit_history_tweet_ids': ['1603169511015948290'], 'id': '1603169511015948290', 'text': 'RT @PETRIIISTAAAAS: @petrogustavo Será porque esos jóvenes incendiaron, violaron, asesinaron, degollaron, saquearon… etc. es evidente que p…'}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'edit_history_tweet_ids': ['1603169511384829952'], 'id': '1603169511384829952', 'text': 'RT @jairsanchezzz: Al único intercambio que me metería contigo es al de mentada de madres'}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'edit_history_tweet_ids': ['1603169513478164480'], 'id': '1603169513478164480', 'text': ""RT @DavidGR1714: Segons ER el pressupost el va fer Giro i per tant no s' enten que JxC no el voti a favor \nSegons ER i Comuns el sr Giro es…""}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'edit_history_tweet_ids': ['1603169511686955009'], 'id': '1603169511686955009', 'text': '@TyCSports Ay que violentos che! https://t.co/DxdJIrcfrL'}","[{'id': '1603160755783827468', 'tag': ''}, {'id': '1603156582275194881', 'tag': ''}, {'id': '1603160739908407299', 'tag': ''}, {'id': '1603160744962424832', 'tag': ''}]"
"{'edit_history_tweet_ids': ['1603169513444233216'], 'id': '1603169513444233216', 'text': 'RT @LaEufe: Felipe Bianchi en lo único que es experto es en bloquear gente en tuiter. 😅'}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'edit_history_tweet_ids': ['1603169510386675712'], 'id': '1603169510386675712', 'text': '@moonatarix Ajá'}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'edit_history_tweet_ids': ['1603169512932528129'], 'id': '1603169512932528129', 'text': 'RT @nosoyroma: No quería arruinar la alegria de ayer, pero esto también es Argentina 🇦🇷 Ushuaia, la isla, hace más de 15 días vienen así, l…'}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
