data,includes,matching_rules
"{'author_id': '1435899357623201793', 'edit_history_tweet_ids': ['1606252370404352000'], 'geo': {}, 'id': '1606252370404352000', 'text': 'RT @hugoglezp_: el beso en la frente no es pa cualquiera'}","{'users': [{'id': '1435899357623201793', 'name': 'cristina', 'username': 'cristinabrreraa'}, {'id': '1164838393789833216', 'name': 'hugo', 'username': 'hugoglezp_'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '1391988666', 'edit_history_tweet_ids': ['1606252370958098433'], 'geo': {}, 'id': '1606252370958098433', 'text': '@Cooperativa La verdad que la presencia del Presidente es irrelevante.'}","{'users': [{'id': '1391988666', 'name': 'Marta Guzman', 'username': 'martaguzb'}, {'id': '7668952', 'name': 'Cooperativa', 'username': 'Cooperativa'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '896218278141603840', 'edit_history_tweet_ids': ['1606252370324688897'], 'geo': {}, 'id': '1606252370324688897', 'text': '@NachoRgz @YasminEsquivel_ Y dónde queda la honestidad ? Hay que asumir la responsabilidad cuando se comete un error. La estrategia del complot ya nos aburre. Esa es la retórica de su presidente.'}","{'users': [{'id': '896218278141603840', 'name': 'Antonio Cervantes', 'username': 'AntonioTLS27'}, {'id': '68723105', 'name': 'Nacho Rodriguez (El Chapucero)', 'username': 'NachoRgz'}, {'id': '1093302094847606784', 'name': 'Yasmin Esquivel Mossa', 'username': 'YasminEsquivel_'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '276843693', 'edit_history_tweet_ids': ['1606252367967502336'], 'geo': {}, 'id': '1606252367967502336', 'text': 'RT @CarlosA44228005: HALA A PASTAR!!\nDerecha ultra, Ultra derecha, ""Periodistas patrios"", Togas fascistas. Esto no os justa pero es lo que…'}","{'users': [{'id': '276843693', 'name': 'josealicante68', 'username': 'josealicante68'}, {'id': '1498273470773403652', 'name': 'Carlos Alonso Cortiñas 🔻', 'username': 'CarlosA44228005'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '2155457142', 'edit_history_tweet_ids': ['1606252368240054272'], 'geo': {}, 'id': '1606252368240054272', 'text': '@jlsantana El que debe estar feliz es Massa, justo que le tiene que pedir a la oposicion que le vote leyes que necesita, el gobierno se pone en estupidez extrema.'}","{'users': [{'id': '2155457142', 'name': 'depreforever', 'username': 'depreforever'}, {'id': '31418919', 'name': 'José Luis #360', 'username': 'jlsantana'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '1575974227584249857', 'edit_history_tweet_ids': ['1606252370396004352'], 'geo': {}, 'id': '1606252370396004352', 'text': 'RT @thakiddcesar: confirmen si el contacto visual es el mejor coqueteo'}","{'users': [{'id': '1575974227584249857', 'name': 'donadechocolatee🎃', 'username': 'dona99282388'}, {'id': '942092610155483136', 'name': 'cesar 🥷', 'username': 'thakiddcesar'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '414263917', 'edit_history_tweet_ids': ['1606252371268341761'], 'geo': {}, 'id': '1606252371268341761', 'text': '@ProyectRomareda @PodemosZaragoza Y lo pagará el señor Rivarés de su bolsillo, que es muy deportista.'}","{'users': [{'id': '414263917', 'name': 'ELPINTA', 'username': '_ELPINTA_'}, {'id': '1473341578924150787', 'name': 'Proyecto Romareda 🏟', 'username': 'ProyectRomareda'}, {'id': '2339427847', 'name': 'Podemos Zaragoza', 'username': 'PodemosZaragoza'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '1062604369944817665', 'edit_history_tweet_ids': ['1606252370098327559'], 'geo': {}, 'id': '1606252370098327559', 'text': ""RT @TheLocalSpain: It looks like there won't be any need for scarves or gloves anywhere in Spain this Christmas as temperatures well above…""}","{'users': [{'id': '1062604369944817665', 'name': 'Gellilyfdy', 'username': 'gellilyfdy'}, {'id': '1113920359', 'name': 'The Local Spain', 'username': 'TheLocalSpain'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '881215121904857090', 'edit_history_tweet_ids': ['1606252368537931776'], 'geo': {}, 'id': '1606252368537931776', 'text': '@annikkisophie sich ja schwerer tut als wenn er freidrehen muss (kann) 🙈\n\nDas ist ja auch das Problem mit dem Kerker: Klar würde sich viele wünschen, dass da einfach gebaut werden könnte wie man mag, die Chance, dass das rein zufällig alles problemlos aufgeht liegt aber bei quasi null 🥴'}","{'users': [{'id': '881215121904857090', 'name': 'Säbelzahnkaninchen - 1700 Drecksteil 😛🐇\U0001faf6⚡🎃', 'username': 'ThePredatorDE'}, {'id': '1081918836818038784', 'name': 'Kuschelkaninchen🐰\U0001faf6🏻🧡', 'username': 'annikkisophie'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '911297569321619457', 'edit_history_tweet_ids': ['1606252370584707072'], 'geo': {}, 'id': '1606252370584707072', 'text': ""RT @edudiaz: Quan un partit es troba més còmode reformant l'estat espanyol i el seu sistema judicial que proclamant la independència, estem…""}","{'users': [{'id': '911297569321619457', 'name': 'Galer', 'username': 'Galer43'}, {'id': '12797912', 'name': 'edudiaz', 'username': 'edudiaz'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
