Fecha;Hora;Consumo_kWh
01/06/2021;1;0,108
01/06/2021;2;0,098
01/06/2021;3;0,087
01/06/2021;4;0,090
01/06/2021;5;0,084
01/06/2021;6;0,086
01/06/2021;7;0,080
01/06/2021;8;0,118
01/06/2021;9;0,419
01/06/2021;10;0,133
01/06/2021;11;0,193
01/06/2021;12;0,160
01/06/2021;13;0,135
01/06/2021;14;0,158
01/06/2021;15;0,134
01/06/2021;16;0,199
01/06/2021;17;0,235
01/06/2021;18;0,173
01/06/2021;19;0,138
01/06/2021;20;0,150
01/06/2021;21;0,270
01/06/2021;22;0,428
01/06/2021;23;0,248
01/06/2021;24;0,189
02/06/2021;1;0,097
02/06/2021;2;0,083
02/06/2021;3;0,085
02/06/2021;4;0,082
02/06/2021;5;0,084
02/06/2021;6;0,084
02/06/2021;7;0,091
02/06/2021;8;0,174
02/06/2021;9;0,359
02/06/2021;10;0,116
02/06/2021;11;0,184
02/06/2021;12;0,188
02/06/2021;13;0,217
02/06/2021;14;0,907
02/06/2021;15;0,120
02/06/2021;16;0,103
02/06/2021;17;0,309
02/06/2021;18;0,983
02/06/2021;19;0,377
02/06/2021;20;1,008
02/06/2021;21;1,201
02/06/2021;22;0,623
02/06/2021;23;0,630
02/06/2021;24;0,203
03/06/2021;1;0,108
03/06/2021;2;0,093
03/06/2021;3;0,085
03/06/2021;4;0,091
03/06/2021;5;0,088
03/06/2021;6;0,150
03/06/2021;7;0,092
03/06/2021;8;0,110
03/06/2021;9;0,492
03/06/2021;10;0,146
03/06/2021;11;0,124
03/06/2021;12;0,128
03/06/2021;13;0,169
03/06/2021;14;0,134
03/06/2021;15;0,165
03/06/2021;16;0,214
03/06/2021;17;0,366
03/06/2021;18;0,251
03/06/2021;19;0,210
03/06/2021;20;0,182
03/06/2021;21;0,190
03/06/2021;22;0,336
03/06/2021;23;0,302
03/06/2021;24;0,193
04/06/2021;1;0,089
04/06/2021;2;0,085
04/06/2021;3;0,082
04/06/2021;4;0,127
04/06/2021;5;0,103
04/06/2021;6;0,092
04/06/2021;7;0,082
04/06/2021;8;0,132
04/06/2021;9;0,365
04/06/2021;10;0,129
04/06/2021;11;0,129
04/06/2021;12;0,130
04/06/2021;13;0,126
04/06/2021;14;0,108
04/06/2021;15;0,105
04/06/2021;16;0,338
04/06/2021;17;0,137
04/06/2021;18;0,250
04/06/2021;19;0,257
04/06/2021;20;0,184
04/06/2021;21;0,212
04/06/2021;22;0,136
04/06/2021;23;0,246
04/06/2021;24;0,229
05/06/2021;1;0,111
05/06/2021;2;0,141
05/06/2021;3;0,100
05/06/2021;4;0,093
05/06/2021;5;0,082
05/06/2021;6;0,094
05/06/2021;7;0,088
05/06/2021;8;0,536
05/06/2021;9;0,159
05/06/2021;10;0,693
05/06/2021;11;0,405
05/06/2021;12;0,199
05/06/2021;13;0,201
05/06/2021;14;0,132
05/06/2021;15;0,676
05/06/2021;16;0,294
05/06/2021;17;0,248
05/06/2021;18;0,286
05/06/2021;19;0,451
05/06/2021;20;0,209
05/06/2021;21;0,812
05/06/2021;22;0,645
05/06/2021;23;0,344
05/06/2021;24;0,287
06/06/2021;1;0,123
06/06/2021;2;0,093
06/06/2021;3;0,094
06/06/2021;4;0,097
06/06/2021;5;0,088
06/06/2021;6;0,084
06/06/2021;7;0,094
06/06/2021;8;0,087
06/06/2021;9;0,109
06/06/2021;10;0,350
06/06/2021;11;0,625
06/06/2021;12;0,308
06/06/2021;13;0,201
06/06/2021;14;0,533
06/06/2021;15;0,609
06/06/2021;16;0,922
06/06/2021;17;0,274
06/06/2021;18;0,257
06/06/2021;19;0,557
06/06/2021;20;0,180
06/06/2021;21;0,156
06/06/2021;22;0,235
06/06/2021;23;0,225
06/06/2021;24;0,225
07/06/2021;1;0,118
07/06/2021;2;0,155
07/06/2021;3;0,098
07/06/2021;4;0,097
07/06/2021;5;0,081
07/06/2021;6;0,090
07/06/2021;7;0,085
07/06/2021;8;0,103
07/06/2021;9;0,354
07/06/2021;10;0,121
07/06/2021;11;0,102
07/06/2021;12;0,152
07/06/2021;13;0,161
07/06/2021;14;0,140
07/06/2021;15;0,127
07/06/2021;16;0,249
07/06/2021;17;0,329
07/06/2021;18;0,225
07/06/2021;19;0,194
07/06/2021;20;0,178
07/06/2021;21;0,224
07/06/2021;22;0,296
07/06/2021;23;0,664
07/06/2021;24;0,245
08/06/2021;1;0,659
08/06/2021;2;0,152
08/06/2021;3;0,134
08/06/2021;4;0,133
08/06/2021;5;0,142
08/06/2021;6;0,133
08/06/2021;7;0,137
08/06/2021;8;0,155
08/06/2021;9;0,317
08/06/2021;10;0,135
08/06/2021;11;0,132
08/06/2021;12;0,149
08/06/2021;13;0,178
08/06/2021;14;0,168
08/06/2021;15;0,120
08/06/2021;16;0,213
08/06/2021;17;0,154
08/06/2021;18;0,096
08/06/2021;19;0,185
08/06/2021;20;0,232
08/06/2021;21;0,599
08/06/2021;22;0,663
08/06/2021;23;0,228
08/06/2021;24;0,184
09/06/2021;1;0,102
09/06/2021;2;0,100
09/06/2021;3;0,091
09/06/2021;4;0,089
09/06/2021;5;0,087
09/06/2021;6;0,083
09/06/2021;7;0,090
09/06/2021;8;0,272
09/06/2021;9;0,426
09/06/2021;10;0,195
09/06/2021;11;0,190
09/06/2021;12;0,131
09/06/2021;13;0,128
09/06/2021;14;0,130
09/06/2021;15;0,129
09/06/2021;16;0,174
09/06/2021;17;0,239
09/06/2021;18;0,143
09/06/2021;19;0,208
09/06/2021;20;0,163
09/06/2021;21;0,180
09/06/2021;22;0,808
09/06/2021;23;0,276
09/06/2021;24;0,223
10/06/2021;1;0,105
10/06/2021;2;0,099
10/06/2021;3;0,101
10/06/2021;4;0,095
10/06/2021;5;0,089
10/06/2021;6;0,151
10/06/2021;7;0,097
10/06/2021;8;0,163
10/06/2021;9;0,387
10/06/2021;10;0,134
10/06/2021;11;0,119
10/06/2021;12;0,153
10/06/2021;13;0,124
10/06/2021;14;0,611
10/06/2021;15;0,132
10/06/2021;16;0,231
10/06/2021;17;0,262
10/06/2021;18;0,178
10/06/2021;19;0,114
10/06/2021;20;0,094
10/06/2021;21;0,176
10/06/2021;22;0,353
10/06/2021;23;0,244
10/06/2021;24;0,242
11/06/2021;1;0,107
11/06/2021;2;0,085
11/06/2021;3;0,085
11/06/2021;4;0,090
11/06/2021;5;0,085
11/06/2021;6;0,084
11/06/2021;7;0,079
11/06/2021;8;0,141
11/06/2021;9;0,436
11/06/2021;10;0,148
11/06/2021;11;0,121
11/06/2021;12;0,178
11/06/2021;13;0,183
11/06/2021;14;0,125
11/06/2021;15;0,119
11/06/2021;16;0,344
11/06/2021;17;0,240
11/06/2021;18;0,196
11/06/2021;19;0,152
11/06/2021;20;0,268
11/06/2021;21;0,820
11/06/2021;22;0,674
11/06/2021;23;0,252
11/06/2021;24;0,207
12/06/2021;1;0,157
12/06/2021;2;0,094
12/06/2021;3;0,091
12/06/2021;4;0,092
12/06/2021;5;0,089
12/06/2021;6;0,087
12/06/2021;7;0,079
12/06/2021;8;0,090
12/06/2021;9;0,180
12/06/2021;10;0,630
12/06/2021;11;0,551
12/06/2021;12;0,102
12/06/2021;13;0,956
12/06/2021;14;1,247
12/06/2021;15;0,137
12/06/2021;16;0,724
12/06/2021;17;0,273
12/06/2021;18;0,162
12/06/2021;19;0,180
12/06/2021;20;0,204
12/06/2021;21;0,167
12/06/2021;22;0,197
12/06/2021;23;0,147
12/06/2021;24;0,218
13/06/2021;1;0,159
13/06/2021;2;0,132
13/06/2021;3;0,138
13/06/2021;4;0,125
13/06/2021;5;0,142
13/06/2021;6;0,133
13/06/2021;7;0,134
13/06/2021;8;0,131
13/06/2021;9;0,164
13/06/2021;10;0,369
13/06/2021;11;0,214
13/06/2021;12;0,659
13/06/2021;13;0,384
13/06/2021;14;0,185
13/06/2021;15;0,275
