datetime,value
2021-06-01T00:00:00+02:00,116.33
2021-06-01T01:00:00+02:00,115.95
2021-06-01T02:00:00+02:00,114.89
2021-06-01T03:00:00+02:00,114.96
2021-06-01T04:00:00+02:00,114.84
2021-06-01T05:00:00+02:00,116.03
2021-06-01T06:00:00+02:00,116.29
2021-06-01T07:00:00+02:00,115.7
2021-06-01T08:00:00+02:00,152.89
2021-06-01T09:00:00+02:00,150.83
2021-06-01T10:00:00+02:00,242.62
2021-06-01T11:00:00+02:00,240.5
2021-06-01T12:00:00+02:00,238.09
2021-06-01T13:00:00+02:00,235.3
2021-06-01T14:00:00+02:00,137.96
2021-06-01T15:00:00+02:00,132.88
2021-06-01T16:00:00+02:00,131.93
2021-06-01T17:00:00+02:00,135.99
2021-06-01T18:00:00+02:00,231.44
2021-06-01T19:00:00+02:00,240.4
2021-06-01T20:00:00+02:00,246.2
2021-06-01T21:00:00+02:00,248.08
2021-06-01T22:00:00+02:00,155.91
2021-06-01T23:00:00+02:00,156.5
2021-06-02T00:00:00+02:00,116.2
2021-06-02T01:00:00+02:00,114.37
2021-06-02T02:00:00+02:00,112.53
2021-06-02T03:00:00+02:00,112.87
2021-06-02T04:00:00+02:00,111.85
2021-06-02T05:00:00+02:00,111.97
2021-06-02T06:00:00+02:00,115.76
2021-06-02T07:00:00+02:00,115.64
2021-06-02T08:00:00+02:00,152.96
2021-06-02T09:00:00+02:00,148.53
2021-06-02T10:00:00+02:00,239.96
2021-06-02T11:00:00+02:00,236.68
2021-06-02T12:00:00+02:00,235.64
2021-06-02T13:00:00+02:00,235.05
2021-06-02T14:00:00+02:00,138.51
2021-06-02T15:00:00+02:00,136.15
2021-06-02T16:00:00+02:00,132.27
2021-06-02T17:00:00+02:00,136.19
2021-06-02T18:00:00+02:00,231.2
2021-06-02T19:00:00+02:00,236.77
2021-06-02T20:00:00+02:00,239.27
2021-06-02T21:00:00+02:00,245.0
2021-06-02T22:00:00+02:00,150.92
2021-06-02T23:00:00+02:00,148.31
2021-06-03T00:00:00+02:00,109.58
2021-06-03T01:00:00+02:00,106.08
2021-06-03T02:00:00+02:00,102.96
2021-06-03T03:00:00+02:00,104.45
2021-06-03T04:00:00+02:00,104.62
2021-06-03T05:00:00+02:00,107.53
2021-06-03T06:00:00+02:00,111.76
2021-06-03T07:00:00+02:00,112.82
2021-06-03T08:00:00+02:00,149.44
2021-06-03T09:00:00+02:00,141.77
2021-06-03T10:00:00+02:00,233.13
2021-06-03T11:00:00+02:00,231.58
2021-06-03T12:00:00+02:00,231.53
2021-06-03T13:00:00+02:00,230.1
2021-06-03T14:00:00+02:00,132.65
2021-06-03T15:00:00+02:00,123.78
2021-06-03T16:00:00+02:00,123.41
2021-06-03T17:00:00+02:00,126.76
2021-06-03T18:00:00+02:00,226.34
2021-06-03T19:00:00+02:00,234.88
2021-06-03T20:00:00+02:00,237.45
2021-06-03T21:00:00+02:00,242.13
2021-06-03T22:00:00+02:00,149.56
2021-06-03T23:00:00+02:00,147.21
2021-06-04T00:00:00+02:00,103.12
2021-06-04T01:00:00+02:00,102.95
2021-06-04T02:00:00+02:00,102.52
2021-06-04T03:00:00+02:00,105.81
2021-06-04T04:00:00+02:00,105.77
2021-06-04T05:00:00+02:00,108.25
2021-06-04T06:00:00+02:00,111.09
2021-06-04T07:00:00+02:00,112.52
2021-06-04T08:00:00+02:00,149.52
2021-06-04T09:00:00+02:00,145.98
2021-06-04T10:00:00+02:00,235.55
2021-06-04T11:00:00+02:00,235.06
2021-06-04T12:00:00+02:00,234.9
2021-06-04T13:00:00+02:00,234.48
2021-06-04T14:00:00+02:00,137.15
2021-06-04T15:00:00+02:00,134.09
2021-06-04T16:00:00+02:00,129.52
2021-06-04T17:00:00+02:00,133.79
2021-06-04T18:00:00+02:00,231.88
2021-06-04T19:00:00+02:00,236.58
2021-06-04T20:00:00+02:00,238.32
2021-06-04T21:00:00+02:00,239.39
2021-06-04T22:00:00+02:00,144.42
2021-06-04T23:00:00+02:00,140.65
2021-06-05T00:00:00+02:00,103.4
2021-06-05T01:00:00+02:00,96.97
2021-06-05T02:00:00+02:00,94.35
2021-06-05T03:00:00+02:00,95.48
2021-06-05T04:00:00+02:00,94.31
2021-06-05T05:00:00+02:00,94.51
2021-06-05T06:00:00+02:00,93.76
2021-06-05T07:00:00+02:00,96.09
2021-06-05T08:00:00+02:00,102.83
2021-06-05T09:00:00+02:00,102.36
2021-06-05T10:00:00+02:00,106.78
2021-06-05T11:00:00+02:00,106.93
2021-06-05T12:00:00+02:00,106.58
2021-06-05T13:00:00+02:00,107.01
2021-06-05T14:00:00+02:00,104.82
2021-06-05T15:00:00+02:00,100.25
2021-06-05T16:00:00+02:00,98.99
2021-06-05T17:00:00+02:00,98.59
2021-06-05T18:00:00+02:00,99.19
2021-06-05T19:00:00+02:00,99.66
2021-06-05T20:00:00+02:00,107.3
2021-06-05T21:00:00+02:00,110.92
2021-06-05T22:00:00+02:00,111.3
2021-06-05T23:00:00+02:00,107.22
2021-06-06T00:00:00+02:00,112.11
2021-06-06T01:00:00+02:00,109.84
2021-06-06T02:00:00+02:00,104.54
2021-06-06T03:00:00+02:00,104.78
2021-06-06T04:00:00+02:00,99.5
2021-06-06T05:00:00+02:00,100.33
2021-06-06T06:00:00+02:00,100.26
2021-06-06T07:00:00+02:00,99.05
2021-06-06T08:00:00+02:00,96.06
2021-06-06T09:00:00+02:00,93.35
